Name,Description,Website,Facebook,Instagram,Audience Network,Messenger
GrowthSchool,Become the Top 1% Professional in your industry 🚀,http://www.growthschool.io/,false,false,false,false
WsCube Tech,"Wscube Tech is a professional IT company providing world-class web development, mobile app development, and digital marketing services.",https://www.wscubetech.com/,false,false,false,false
WsCube Tech,"Wscube Tech is a professional IT company providing world-class web development, mobile app development, and digital marketing services.",https://www.wscubetech.com/,false,false,false,false
WsCube Tech,"Wscube Tech is a professional IT company providing world-class web development, mobile app development, and digital marketing services.",https://www.wscubetech.com/,false,false,false,false
WsCube Tech,"Wscube Tech is a professional IT company providing world-class web development, mobile app development, and digital marketing services.",https://www.wscubetech.com/,false,false,false,false
EHAM,We empower you to #fullstack your tech career with Silicon Valley curriculum,http://www.eham.tech/,false,false,false,false
EHAM,We empower you to #fullstack your tech career with Silicon Valley curriculum,http://www.eham.tech/,false,false,false,false
TechVersions,We are a platform where we share information about latest technology.,http://techversions.com/,false,false,false,false
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/,false,false,false,false
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/,false,false,false,false
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/,false,false,false,false
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/,false,false,false,false
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/,false,false,false,false
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/,false,false,false,false
Tech Altum,Tech Altum is IIT Alumni's and ISO Certified IT Training Institute in Noida for Frontend & Fullstack,https://www.techaltum.com/,false,false,false,false
TechVersions,We are a platform where we share information about latest technology.,http://techversions.com/,false,false,false,false
Global tech gadgets,-,https://Gtgadget.in/,false,false,false,false
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/,false,false,false,false
Briclay Tech,"It's time to switch to ""Free Service""🔍
#SabKuchMilegaWithDeliveryFreefree
Order from your favorites local shop or your go-to restaurant with Briclay, the app with benefits!
Order Now.",https://www.briclay.com/,false,false,false,false
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
DAO EVTech,"Dao EV Tech is a smart electric mobility manufacturing startup with the mission to deliver reliable, high quality & innovative products through the ‘Make in India’ initiative with a mission to mature the EV industry in India

Ride Electric, Ride a Dao",http://www.daoev.com/,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
ALT RealTech,-,https://www.altdrx.com/,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740,false,false,false,false
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740,false,false,false,false
Startechcorporation.in,"Certificate course,“Online Digital Marketing,” from XLRI Management Institute, Jamshedpur.",http://www.startechcorporation.in/,false,false,false,false
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740,false,false,false,false
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
Nirmala Institutions,"Nirmala Institutions, one of the pioneers in higher education, embarked on its first venture in 1954 with the objective of moulding responsible citizens who could creatively contribute to the betterment of the society.",https://www.nirmalacollege.edu.in/,false,false,false,false
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740,false,false,false,false
College Vidya Technical,-,https://collegevidya.com/,false,false,false,false
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/,false,false,false,false
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/,false,false,false,false
Veltech Deemed to be University,Veltech Deemed to be University,https://bit.ly/3ngXwlp,false,false,false,false
