name,description,website
Artmetech,Metaverse | AR Filters | Web Experiences | Digital Marketing,https://artmetech.in/
Design Crowdfunding Projects,"The hottest Kickstarter crowdfunding projects, curated. Like the page to get updates on trending new projects so you can snag the Early Bird Rewards!",http://jellop.com/
Blackberrys Menswear,-,https://blackberrys.com/
Blackberrys Menswear,-,https://blackberrys.com/
Bhairavi Jani,"This is the page of Bhairavi Jani, Entrepreneur, Philanthropist,  Development Enthusiast, Dreamer and Traveller",http://bhairavijani.com/
XandY Learning,A prime e-learning platform led by IITians and Doctors providing foundation in Science & Math!,http://xandylearning.com/
"Sri Aurobindo Institute of Technology, Indore","SAIT is a leading new-age Engineering College at Indore. We champion innovations in education, research and technology. Click www.sait.ac.in to know more about courses offered, campus, faculties, placements and every thing else about SAIT.",https://aurogroup.ac/sait/
BSA Crescent Institute of Science and Technology,-,http://www.crescent.education/
ThePropertist,Buy/Sell/Rent properties across Mumbai @ www.thepropertist.com !Log on to know more,http://www.thepropertist.com/
Western Constructions,"Western Group is dedicated to being the leading provider of Real Estate Services and Solutions. Since its founding in 1989, Western Group has grown to a leadership position in the Real Estate Industry.",https://westernconstructions.com/
Radio Sanjhi Awaaz Melbourne - Australia,"Radio Sanjhi Awaaz Melbourne 
Phone :0488840817
Website:www.sanjhiawaaz.com.au
Download Mobile Apps from Apple App Store and Google Play Store.",https://www.sanjhiawaaz.com.au/
SCALER,Where the hungry learn. Take the hunger test in our Free Masterclass,https://bit.ly/Scaler_LearnNow
Sonawane Group,Sonawane is India's premier real estate developer with range of commercial and residential projects.,http://www.sonawanegroup.com/
BSA Crescent Institute of Science and Technology,-,http://www.crescent.education/
AlmaBetter,AlmaBetter is an online platform committed to educate and prepare students for modern-day careers.,https://www.almabetter.com/
AlmaBetter,AlmaBetter is an online platform committed to educate and prepare students for modern-day careers.,https://www.almabetter.com/
Pinsout Innovation,"Pinsout Innovation is a tech farming agency delivering high quality, cost-effective, reliable result-oriented web and e-commerce solutions on time for a global clientele.",https://pinsoutinnovation.com/
AlmaBetter,AlmaBetter is an online platform committed to educate and prepare students for modern-day careers.,https://www.almabetter.com/
AlmaBetter,AlmaBetter is an online platform committed to educate and prepare students for modern-day careers.,https://www.almabetter.com/
Design Crowdfunding Projects,"The hottest Kickstarter crowdfunding projects, curated. Like the page to get updates on trending new projects so you can snag the Early Bird Rewards!",http://jellop.com/
"Chandigarh Group of Colleges, Landran, Mohali","•	Official page–Chandigarh Group of Colleges, Landran | www.cgc.edu.in
•	Ensuring quality and affordability in education
•	Highest Package in Campus Placements-45.5 LPA
•	Advanced R&D Cell-ACIC RISE, supported by NITI Aayog",https://www.cgc.edu.in/
"Chandigarh Group of Colleges, Landran, Mohali","•	Official page–Chandigarh Group of Colleges, Landran | www.cgc.edu.in
•	Ensuring quality and affordability in education
•	Highest Package in Campus Placements-45.5 LPA
•	Advanced R&D Cell-ACIC RISE, supported by NITI Aayog",https://www.cgc.edu.in/
GrowthSchool,Become the Top 1% Professional in your industry 🚀,http://www.growthschool.io/
WsCube Tech,"Wscube Tech is a professional IT company providing world-class web development, mobile app development, and digital marketing services.",https://www.wscubetech.com/
WsCube Tech,"Wscube Tech is a professional IT company providing world-class web development, mobile app development, and digital marketing services.",https://www.wscubetech.com/
